"ProjectID","Project Title","PAAS Code","Approval Status","Fund","PAG Value","Start Date","End Date","Country(ies)","Lead Org Unit","Theme(s)","Donor(s)","Total Expenditure","Total Contribution","Total Contribution - Total Expenditure","Total PSC"
"1802","Urban Planning Support Programme for Palestinian Communities in East Jerusalem","P013","Approved","FPP","2,969,253","1-Sep-11","30-Oct-16","Palestine","Regional Office for Arab States","Urban Planning and Design","European Commission (EC), PM of Belgium to the United Nations, DEPT FOR INTERNATIONAL DEVELOPMENT DFID/ UNITED KINGDOM, EUROPEAN COMMISSION FLAGGED FOR ARCHIVING, GROUP OF SPONSORS","3,976,901","4,480,272","503,371","233,454"
"1803","Strengthening Primary Health Care System in 3 States of Darfur","C309","Pending Approval","QXB","1,356,589","1-Dec-11","30-Oct-16","Sudan","Regional Office for Africa","Urban Basic Services","World Health Organization Sudan Office - WHO (SuO) , WHO-SUDAN","1,355,682","1,354,963","-720","88,642"
"1804","Disaster Resilient City Development Strategies for Sri Lankan Cities","D335","Pending Approval","QXB","1,100,000","1-Dec-11","31-Dec-14","Sri Lanka","Regional Office for Asia and the Pacific","Risk Reduction and Rehabilitation","AusAID, , AUSTRALIAN AGENCY FOR INTL DEVELOPMENT (AUSAID)","2,033,991","2,109,760","75,769","135,086"
"1850","Implementation of the RAIN Water for Schools Project in East Africa (Global Environment & Technology Foundation Conttibution-GETF)","W055","Pending Approval","FWS","225,000","11-Aug-11","31-Dec-13","Kenya, Tanzania, Uganda","Urban Basic Services","Urban Basic Services","Global Environment and Technology Foundation , GLOBAL ENVIRONMENT AND TECHNOLOGY FOUNDATION","225,092","225,000","-92","25,913"
"1851","WATSAN Trust Fund: GOAL WASH Programme, LAO PDR < UNDP Contribution>","W056","Pending Approval","FWS","149,533","1-Oct-11","31-May-16","Laos","Urban Basic Services","Urban Basic Services","UNDP Bureau for Development Policy/ Energy Group, UNDP-LAO PEOPLE'S DEMOCRATIC REPUBLIC","216,717","216,822","105","14,080"
"1858","Housing Policy Advice Ministry of Public works and Housing Occupied Palestinian Territory","P014","Pending Approval","FPP","175,000","1-Nov-11","30-Sep-13","Palestine","Regional Office for Arab States","Housing and Slum Upgrading","IBRD/World Bank, WORLD BANK-HQ","173,392","174,890","1,498","10,551"
"1859","Land and Natural Resources Tenure Security Learning Initiative for Eastern and Southern Africa < TSLI - ESA>","G065","Pending Approval","FOD","225,000","1-Oct-11","31-Dec-13","Regional - Africa","Regional Office for Africa","Urban Land, Legislation & Governance","International Fund for Agricultural Development","200,129","200,000","-129","19,687"
"1860","Urban Income Inequalities in Latin American and Caribbean Cities","H143","Pending Approval","FOD","300,000","15-Jan-12","31-May-16","Regional - Latin America and Caribbean","Research and Capacity Development","Urban Economy","Avina, Corporacion Andina de Fomento (CAF) , , GROUP OF SPONSORS, CORPORACION ANDINA DE FOMENTO - CAF","287,778","310,000","22,222","33,107"
"1861","Establishment of the Advisory Group on Gender Issues for UN-Habitat","J085","Pending Approval","FNO","120,000","1-Jan-12","30-Jun-16","GLOBAL","Programme Division","External Relations","Uganda Women's Land Access Trust (ULWAT) , , PM OF NORWAY TO THE UNITED NATIONS","81,152","0","-81,152","0"
"1862","Colombo City-Livelihood assessment of flood-prone Low-income Settlements and preparation of urban policy note","D336","Pending Approval","QXB","58,468","1-Jan-12","30-Jun-12","Sri Lanka","Regional Office for Asia and the Pacific","Urban Planning and Design","IBRD/World Bank, WORLD BANK-HQ","51,379","58,467","7,088","0"
"1863","Support to the establishment of a land disputes prevention and resolution system in","C312","Pending Approval","QXB","2,000,000","1-Aug-11","31-May-16","Liberia","Regional Office for Africa","Risk Reduction and Rehabilitation","UNDP Res Rep Liberia, , UNDP-LIBERIA","1,963,151","2,000,000","36,849","127,066"
"1866","UN-Habitat Office in Spain: Towards a New Urban Agenda","J094","Pending Approval","FSP","787,783","1-Jan-12","14-Mar-18","Spain, Regional - Latin America and Caribbean","Urban Planning and Design","External Relations, Resource Mobilization, Urban Land, Legislation & Governance, Urban Planning and Design","Barcelona City Council, PM of Spain to the United Nations, AGENCIA CATALANA DE COOPERACIO AL DESENVOLUPAMENT-ACCD CATAL COOP DEV AG, ANDALUSIAN AGENCY INTL COOP FOR DEV, BARCELONA CITY COUNCIL AJUNTAMENT DE BARCELONA, CITY COUNCIL OF MADRID SPAIN, JUNTA DE EXTREMADURA","2,815,995","2,371,918","-444,077","254,598"
"1869","Cost Center - Regional office for Africa","V007","Pending Approval","TOH","67,864","1-Jan-12","31-Dec-18","Regional - Africa","Regional Office for Africa","Management","","189,974","24,309,890","24,119,916","0"
"1870","Cost Center - Regional office for Arab states","V008","Pending Approval","TOH","104,544","1-Jan-12","31-Dec-18","Regional Office - Arab States","Regional Office for Arab States","Management","","255,416","24,309,890","24,054,474","0"
"1871","Cost Center - Regional office for Asia and the Pacific","V009","Pending Approval","TOH","338,631","1-Jan-12","31-Dec-18","Regional - Asia","Regional Office for Asia and the Pacific","Management","","1,231,204","24,309,890","23,078,686","0"
"1872","Cost Center - Regional office for Latin America and the carribean","V010","Pending Approval","TOH","109,589","1-Jan-12","31-Dec-18","Regional - Latin America and Caribbean","Regional Office for Latin America and Caribbean","Management","","284,613","24,309,890","24,025,277","0"
"1874","Cost centre - New York/ Liaison Office","V002","Pending Approval","HFU","87,690","1-Jan-12","31-Dec-18","United States of America","Management and Operations","Management","","113,870","24,309,890","24,196,020","0"
"1875","Cost Centre - Geneva Liaison Office","V003","Pending Approval","HFU","199,046","1-Jan-12","31-Dec-18","Switzerland","Management and Operations","Management","","305,834","24,309,890","24,004,057","0"
"1876","Cost Centre - Brussels Liaison Office","V004","Pending Approval","HFU","134,110","1-Jan-12","31-Dec-18","Belgium","Management and Operations","Management","","262,378","24,309,890","24,047,512","0"
"1877","Settlement upgrading and reintegration of Returnees and IDPs through community empowerment, infrastructure and services and local government support","D337","Pending Approval","QXB","11,640,422","1-Mar-12","28-Feb-15","Afghanistan","Regional Office for Asia and the Pacific","Housing and Slum Upgrading","European Commission (EC), , EUROPEAN COMMISSION FLAGGED FOR ARCHIVING","11,640,422","11,606,964","-33,458","761,523"
"1878","Support to the formulation of a project document on Housing and Urban Development Policy in Gabon < Atlas # 00062438>","C313","Pending Approval","TIP","34,000","1-Jan-11","31-May-16","Gabon","Regional Office for Africa","Housing and Slum Upgrading","UNDP Res Rep Gabon , GROUP OF SPONSORS, UNDP-GABON","93,999","0","-93,999","8,545"
"1879","Rehabilitation and Reconstruction facility Phase VI","D338","Pending Approval","FJP","47,300","1-Jan-12","31-Mar-13","Regional - Asia","Regional Office for Asia and the Pacific","Risk Reduction and Rehabilitation","PM of Japan to the United Nations, PM OF JAPAN TO THE UNITED NATIONS","47,058","47,300","242","5,200"
"1880","Enhancement of Technical Cooperation towards Environmentally Sustainable Development in Asia and the pacific Phase IV","D339","Pending Approval","FJP","77,872","1-Apr-12","31-Dec-13","Regional - Asia","Regional Office for Asia and the Pacific","Urban Planning and Design","PM of Japan to the United Nations, PM OF JAPAN TO THE UNITED NATIONS","77,769","77,872","103","8,856"
"1881","Emergency workshop for the Municipalities of Disaster affected Areas in Tohoku, Japan","D340","Pending Approval","QXB","230,934","1-Feb-12","31-Dec-12","Japan","Regional Office for Asia and the Pacific","Risk Reduction and Rehabilitation","PM of Japan to the United Nations","230,934","229,725","-1,209","15,108"
"1883","WLATs and Mavoko SNP Land Development","C315","Pending Approval","FNE","300,338","1-Jan-12","31-Dec-12","Kenya","Regional Office for Africa","Urban Land, Legislation & Governance","","200,783","0","-200,783","0"
"1884","WLATs and Mavoko SNP Land Development","A039_D","Pending Approval","QXB","296,662","1-Mar-11","31-Dec-12","Kenya","Regional Office for Africa","Urban Land, Legislation & Governance","","397,443","0","-397,443","0"
"1897","Support to the Province of Gangwon's International Urban Training Centre ( IUTC)","L013","Pending Approval","FOD","2,430,850","1-Jan-12","31-Dec-17","Korea, Republic of","Research and Capacity Development","Research and Capacity Development","PM of Rep. of Korea to the United Nations, , PM OF THE REP. OF KOREA TO THE UN","1,179,727","1,200,000","20,273","104,412"
"1898","State of the region's Cities Reports Series 2012-2014","C316","Pending Approval","FNO","736,560","12-Mar-12","31-Dec-17","GLOBAL","Programme Division","Research and Capacity Development","Ministry of Foreign Affairs of Norway , PM of Norway to the United Nations, , MINISTRY OF FOREIGN AFFAIRS - NORWAY, PM OF NORWAY TO THE UNITED NATIONS","1,110,553","1,129,657","19,105","78,047"
"1900","Integration of long-term IDPs into the host community in Bosasso","C317","Pending Approval","QXB","2,000,000","1-Mar-12","31-May-16","Somalia","Regional Office for Africa","Risk Reduction and Rehabilitation","PM of Japan to the United Nations, , PM OF JAPAN TO THE UNITED NATIONS","1,999,803","2,000,000","197","130,828"
"1901","AYAHA III Shelter and Settlement Construction","C318","Pending Approval","QXB","2,212,711","1-Mar-12","31-Dec-16","Somalia","Regional Office for Africa","Housing and Slum Upgrading","PM of Japan to the United Nations, , PM OF JAPAN TO THE UNITED NATIONS, PM OF NORWAY TO THE UNITED NATIONS, GOVERNMENT OF JAPAN","2,344,425","2,212,711","-131,714","145,067"
"1902","Participatory Slum Upgrading Programme in ACP Countries","C319","Pending Approval","QXB","12,965,400","1-Jan-12","31-Dec-17","GLOBAL","Housing and Slum Upgrading","Housing and Slum Upgrading","European Commission (EC), JICA, PM of Cameroon to the United Nations, PM of Ghana to the United Nations, PM of Niger to the United Nations , PM of Senegal to the United Nations , , EUROPEAN COMMISSION FLAGGED FOR ARCHIVING, GROUP OF SPONSORS, PM OF CAMEROON TO THE UNITED NATIONS, PM OF GHANA TO THE UNITED NATIONS, PM OF THE REPUBLIC OF NIGER TO THE UN, PM OF THE REPUBLIC OF SENEGAL TO THE UN","12,598,528","12,531,273","-67,255","679,147"
"1903","African Cities Roundtable in Nairobi Global City Indicators","H149","Pending Approval","FOD","96,970","1-Jan-12","31-Dec-13","Regional - Africa","Research and Capacity Development","Research and Capacity Development","Governing Council of the University of Toronto","83,171","96,970","13,799","9,568"
"1904","Youth Empowerment for Urban Development < including youth mainstreaming>","H146","Pending Approval","FNO","5,929,699","1-Jan-12","31-Dec-17","","Urban Economy","Urban Economy","NORAD - Norway , NSF, PM of Norway to the United Nations, PM of Sri Lanka to the United Nations, , GROUP OF SPONSORS, MINISTRY OF FOREIGN AFFAIRS - NORWAY, PM OF NORWAY TO THE UNITED NATIONS","5,945,840","6,130,321","184,481","435,351"
"1905","Urban Solidarity Programme","D341","Pending Approval","QXB","5,000,000","1-Mar-12","31-Dec-13","","Regional Office for Asia and the Pacific","Urban Land, Legislation & Governance","PM of Japan to the United Nations, PM OF JAPAN TO THE UNITED NATIONS","4,999,757","5,000,000","243","327,073"
"1906","Emergency Water, Sanitation, Hygiene and Shelter Assistance to communities affected by flooding caused by Tropical Storm Nock-Ten in Lao PDR","W060","Pending Approval","FOD","129,000","1-Feb-12","31-Dec-13","","Urban Basic Services","Urban Basic Services","European Commission (EC)","129,000","130,392","1,392","8,439"
"1907","Support to Sustainable reintegration of returnees in South Sudan","I001","Pending Approval","QXB","100,000","1-Apr-12","31-Dec-12","","Risk Reduction and Rehabilitation","Risk Reduction and Rehabilitation","","0","0","0","0"
"1911","Joint Programme - Support to Decentralization & Integrated Local Development","C321","Approved","QXB","132,801","1-Nov-11","30-Sep-16","","Regional Office for Africa","Urban Land, Legislation & Governance","BASF Stiftung, , PREFEITURA DA CIDADE DO RIO DE JANEIRO PCRJ","691,593","799,722","108,128","8,697"
"1912","Promoting Low Emission Urban Development Strategies in Emerging Economy Countries","J088","Approved","FOD","8,931,233","1-Mar-12","31-Dec-16","","Urban Planning and Design","Urban Planning and Design","European Commission (EC), , EUROPEAN COMMISSION FLAGGED FOR ARCHIVING","8,927,729","8,343,649","-584,080","584,057"
"1913","Towards Sustainable Solutions for Improved Living Conditions of Palestine Refugees in Lebanon","C320","Approved","QXB","3,562,337","1-Nov-11","31-Oct-14","","Regional Office for Arab States","Urban Basic Services","UNDP Multi Donor Trust Fund Office, UNDP MPTF (Multi-Partner Trust Fund), SWISS AGENCY FOR DEVELOPMENT AND, SWISS AGENCY FOR DEVELOPMENT AND COOPERATION SDC","937,313","953,404","16,091","63,076"
"1914","Global Land Tool Network Phase 2 (Norway Contribution)","G066","Approved","FNO","2,389,078","1-Jan-12","31-Dec-17","","Urban Legislation, Land and Governance","Urban Land, Legislation & Governance","PM of Norway to the United Nations, , MINISTRY OF FOREIGN AFFAIRS - NORWAY, PM OF NORWAY TO THE UNITED NATIONS","3,882,548","4,249,408","366,860","281,214"
"1915","State of the World Cities Report 2012/13","H148","Approved","FNO","451,352","1-Jan-12","31-Dec-14","","Research and Capacity Development","Research and Capacity Development","PM of Norway to the United Nations, PM OF NORWAY TO THE UNITED NATIONS","432,301","841,491","409,190","32,022"
"1923","Urban Poverty Reduction in Mexico 2011-2013","F108","Approved","QXB","450,600","1-Sep-11","30-Sep-17","","Regional Office for Latin America and Caribbean","Urban Land, Legislation & Governance","Consenjo De Investigacion Y Evaluacion De La Politica Social, Municipio De Tlanepantla, PM of Mexico to the United Nations, , CAMARA DE SENADORES DEL CONGRESO GENERAL DE LOS ESTADOS UNIDOS MEXICANOS, GROUP OF SPONSORS, MUNICIPIO DE ACAPULCO","756,389","675,323","-81,067","53,369"
"1924","Identification of best practises, policies and enabling legislation in the local delivery of basic urban services","A121_A","Approved","QXB","1,912,595","1-Nov-11","31-Dec-13","","Executive Office","Urban Land, Legislation & Governance","PM of Spain to the United Nations","1,326,532","3,404,000","2,077,468","126,851"
"1925","Identification of best practises, policies and enabling legislation in the local delivery of basic urban services","A121_B","Approved","QXB","235,180","1-Nov-11","31-Dec-13","","Urban Legislation, Land and Governance","Urban Land, Legislation & Governance","PM of Spain to the United Nations","209,826","0","-209,826","19,374"
"1926","Identification of best practises, policies and enabling legislation in the local delivery of basic urban services","A121_C","Approved","QXB","1,256,255","1-Nov-11","31-Dec-13","","Urban Legislation, Land and Governance","Urban Land, Legislation & Governance","PM of Spain to the United Nations","1,800,183","0","-1,800,183","160,883"
"1931","Assistance to schools in Voronezh region communities affected by 2010 forest fires","E035","Approved","QXB","130,600","1-Feb-12","31-May-16","","Programme Division","Risk Reduction and Rehabilitation","PM of Norway to the United Nations, PM OF NORWAY TO THE UNITED NATIONS","128,165","133,765","5,599","11,593"
"1932","Open UN-Habitat Transparency Initiative","T068","Approved","FNE","581,395","1-Jan-12","31-May-16","","External Relations","External Relations","PM of Sweden to the United Nations, Swedish International Development Cooperation Agency (SIDA) , , GROUP OF SPONSORS","743,301","706,621","-36,680","0"
"1933","Global Land Tool Network Phase II (Sweden Contribution)","G068","Approved","FSE","1,710,757","1-Jan-12","31-Oct-16","","Urban Legislation, Land and Governance","Urban Land, Legislation & Governance","PM of Sweden to the United Nations, Swedish International Development Cooperation Agency (SIDA) , , PM OF SWEDEN TO THE UNITED NATIONS","2,598,063","2,295,824","-302,239","174,149"
"1938","Sustainable Urban Planning and Development Programme in Mozambique","C310","Approved","QXB","200,000","1-Jan-12","31-May-16","","Regional Office for Africa","Urban Basic Services, Urban Economy, Urban Planning and Design","Booyoung, , BOOYOUNG","209,014","200,000","-9,014","24,042"
"1941","Priority Action for Life-Saving response through Integrated Nutrition, WASH and Health Interventions - Nepal 2012","D343","Approved","QXB","211,244","1-May-12","31-Dec-12","","Regional Office for Asia and the Pacific","Risk Reduction and Rehabilitation","United Nations General Trust Fund","211,244","211,244","0","13,820"
"1943","Impact of Economic Development on Urbanization Process in Brazil","F109","Approved","FOD","291,496","1-May-12","30-Sep-16","Brazil","Regional Office for Latin America and Caribbean","Urban Planning and Design","PM of Brazil to the United Nations , PM OF BRAZIL TO THE UNITED NATIONS","271,507","291,496","19,989","17,516"
"1944","Urban Mobility","W059","Approved","FNO","965,148","1-Jan-12","31-Dec-17","Regional - Africa, Regional - Asia, Regional - Latin America and Caribbean","Urban Basic Services","Urban Basic Services, Urban Economy, Urban Land, Legislation & Governance, Urban Planning and Design","Ministry of Foreign Affairs of Norway , PM of Norway to the United Nations, , MINISTRY OF FOREIGN AFFAIRS - NORWAY, PM OF NORWAY TO THE UNITED NATIONS","1,159,537","1,138,857","-20,679","84,176"
"1945","Human Settlements and Crisis Programme","K091_B","Approved","FSE","156,000","7-Jun-11","31-Dec-12","GLOBAL","Risk Reduction and Rehabilitation","Risk Reduction and Rehabilitation","","0","0","0","0"
"1946","Human Settlements and Crisis Programme","K091_A","Approved","FOD","50,000","7-Jun-11","31-Dec-12","GLOBAL","Risk Reduction and Rehabilitation","Risk Reduction and Rehabilitation","","0","0","0","0"
"1947","Formulation of the Burkina Faso Country Programme","C323","Approved","FCL","75,000","1-May-12","31-Dec-13","Burkina Faso","Regional Office for Africa","Urban Planning and Design","IBRD/World Bank","75,001","75,000","-1","0"
"1956","Urban Planning and Design for Sustainable Urban Development","J089","Approved","FSE","1,047,732","1-Jan-12","30-Oct-16","GLOBAL","Urban Planning and Design","Urban Planning and Design","PM of South Africa to the United Nations, PM of Sweden to the United Nations, Swedish International Development Cooperation Agency (SIDA) , , PM OF SWEDEN TO THE UNITED NATIONS","1,599,373","1,255,080","-344,292","105,479"
"1957","Improving Living Conditions in Returnee Areas of Sri Lanka Through Housing","D344","Approved","QXB","3,860,811","1-Jun-12","30-Jun-15","Sri Lanka","Regional Office for Asia and the Pacific","Risk Reduction and Rehabilitation","AusAID, , AUSTRALIAN AGENCY FOR INTL DEVELOPMENT (AUSAID)","3,859,257","3,860,811","1,554","252,451"
"1958","Community Benefit Sharing: Assessment of Options","D345","Approved","QXB","99,999","1-Apr-12","31-Dec-13","Afghanistan","Regional Office for Asia and the Pacific","Risk Reduction and Rehabilitation","IBRD/World Bank","99,999","99,816","-183","6,542"
"1962","Urban Income Inequalities in Latin American and Caribbean Cities","H143_A","Approved","FOD","213,555","15-Jan-12","31-Dec-13","Regional - Latin America and Caribbean","Research and Capacity Development","Urban Economy","Corporacion Andina de Fomento (CAF)","191,871","310,000","118,129","22,074"
"1963","Urban Income Inequalities in Latin American and Caribbean Cities","H143_B","Approved","FOD","86,445","15-Jan-12","31-Dec-13","Regional - Latin America and Caribbean","Research and Capacity Development","Urban Economy","Corporacion Andina de Fomento (CAF)","85,907","0","-85,907","11,034"
"1964","Development of the Ibadan Abidjan urban Energy Corridor for Sustainable Urbanisation and Economic Growth","I004","Approved","QXB","50,000","1-Jun-12","31-Dec-12","Cote d'Ivoire, Nigeria","Urban Basic Services","Urban Basic Services","","0","0","0","0"
"1968","Improving the Housing delivery System in Erbil","N047","Approved","QXB","842,800","30-May-12","30-Sep-13","Iraq","Regional Office for Arab States","Housing and Slum Upgrading","PM of Iraq to the United Nations, PM OF IRAQ TO THE UNITED NATIONS","1,105,132","1,089,007","-16,125","72,298"
"1979","Slum Upgrading and Sustainable Housing Development in two Settlements, in South and West Darfur - Sudan","C322","Approved","QXB","904,020","30-Mar-12","31-Dec-12","Sudan","Regional Office for Arab States","Cross Cutting, Housing and Slum Upgrading, Urban Planning and Design","UNHCR SUDAN","903,977","904,220","243","59,139"
"1984","Shae Thot - The Way Forward: Water and Sanitation Project in Myanmar","D346","Approved","QXB","13,016,065","1-Jan-12","31-Dec-17","Myanmar","Regional Office for Asia and the Pacific","Urban Basic Services","USAID, , USAID - WASHINGTON US AGENCY FOR INTERNATIONAL DEVELOPMENT","12,841,977","13,016,105","174,127","839,917"
"1985","Improving Urban Legal Frameworks for the extension and Densification of cities","G067","Approved","FNO","971,966","1-Jan-12","31-Dec-14","GLOBAL","Urban Legislation, Land and Governance","Urban Land, Legislation & Governance","PM of Norway to the United Nations, PM OF NORWAY TO THE UNITED NATIONS","965,145","1,417,564","452,418","71,492"
"1986","Improving Urban Legal Frameworks for the extension and Densification of cities","G070","Approved","FSE","914,470","1-Jan-12","31-Mar-17","GLOBAL","Urban Legislation, Land and Governance","Urban Land, Legislation & Governance","PM of Sweden to the United Nations, Swedish International Development Cooperation Agency (SIDA) , , PM OF SWEDEN TO THE UNITED NATIONS","1,349,614","1,487,192","137,578","90,767"
"1987","Local Governance Catalytic Project","J092","Approved","FSE","250,063","1-Jan-12","31-Dec-17","GLOBAL","Urban Legislation, Land and Governance","Urban Land, Legislation & Governance","Cellent AG, PM of Sweden to the United Nations, Swedish International Development Cooperation Agency (SIDA) , , CELLENT AG, PM OF SWEDEN TO THE UNITED NATIONS","767,205","941,776","174,571","47,394"
"1988","Promoting Sustainable Urban Mobility Solutions for West Africa","I002","Approved","QXB","100,000","1-Jun-12","31-Dec-12","Regional - Africa","Regional Office for Africa","Urban Basic Services","","0","0","0","0"
"1989","City Resilience Profiling Programme (CRPP)","I003","Approved","QXB","70,000","1-Jun-12","31-Dec-16","GLOBAL","Risk Reduction and Rehabilitation","Risk Reduction and Rehabilitation","GROUP OF SPONSORS","30,017","0","-30,017","0"
"1990","ARCADIS-ROAP Humanitarian Support","D342","Approved","QXB","30,585","11-May-12","31-Dec-13","Regional - Asia","Regional Office for Asia and the Pacific","Risk Reduction and Rehabilitation","Arcadis Nederland BV , ARCADIS NEDERLAND BV","30,585","30,299","-286","0"
"1994","Promotion of Pro-poor Land and Housing: Sustainable Housing, Slum Upgrading and Community Development","G069","Approved","FSE","796,644","1-Jan-12","31-Dec-16","GLOBAL","Housing and Slum Upgrading","Housing and Slum Upgrading","Chalmers University of Technology , PM of Norway to the United Nations, PM of Sweden to the United Nations, Swedish International Development Cooperation Agency (SIDA) , UNDP Res Rep Guyana , , GROUP OF SPONSORS, PM OF SWEDEN TO THE UNITED NATIONS","1,456,589","1,458,010","1,421","79,613"
"1996","IDP Settlement mapping, planning and physical improvement of IDP settlement areas in Mogadishu, Somalia","C324","Approved","QXB","405,672","1-Jun-12","31-Aug-16","Somalia","Regional Office for Africa","Risk Reduction and Rehabilitation","UNOCHA - Somalia (SO), , UNOCHA - SOMALIA SO - INTERNAL UMOJA USE, UNDP-SOMALIA","405,672","405,672","0","26,539"
"1997","FDM0411SWE/MTSIP-SIDA: Medium Term Strategic and Institutional Plan (MTSIP) Focus Area 2","T063_A","Approved","FNE","67,688","1-Jan-11","31-Dec-12","GLOBAL","Urban Planning and Design","Urban Planning and Design","Swedish International Development Cooperation Agency (SIDA)","67,706","0","-67,706","0"
"1998","Institutionalization of Results-Based Management in UN-Habitat","T073","Approved","FNE","158,285","1-Jan-12","31-Dec-14","GLOBAL","Management and Operations","Management","PM of Norway to the United Nations","156,830","78,583","-78,247","0"
"1999","Institutionalization of Results-Based Management in UN-Habitat","T071","Approved","FNE","279,573","1-Jan-12","31-Dec-15","GLOBAL","Management and Operations","Management","PM of Sweden to the United Nations, Swedish International Development Cooperation Agency (SIDA)","360,841","372,402","11,561","0"
"2000","Urban Planning and Design for Sustainable Urban Development","J087","Approved","FNO","971,966","1-Jan-12","31-Dec-16","GLOBAL","Urban Planning and Design","Urban Planning and Design","Ministry of Foreign Affairs of Norway , PM of Norway to the United Nations, , PM OF NORWAY TO THE UNITED NATIONS","1,152,191","1,207,513","55,323","81,318"
"2001","Water and Sanitation Trust Fund Implementation of Training and Capacity Building Activities Under the Lake Victoria Water Supply and Sanitation Programme Phase II","W057","Approved","FWS","4,244,445","8-Dec-11","31-Dec-16","Burundi, Kenya, Rwanda, Tanzania, Uganda","Urban Basic Services","Urban Basic Services","African Development Bank, AFRICAN DEVELOPMENT BANK","4,212,192","4,213,915","1,724","275,564"
"2002","Building statistical capacity to monitor the Millennium Development Goal Slum Target in the context of natural disasters and housing crisis in Africa, Asia and Latin America and the Caribbean","P-12-07-12-99","Pending Approval","ROA","440,000","1-Jan-11","31-Dec-13","GLOBAL","Research and Capacity Development","Research and Capacity Development","","0","0","0","0"
"2004","Water and Sanitation Trust Fund - Norway 2012-2013 contribution","W058","Approved","FWS","2,429,915","1-Jan-12","31-May-16","GLOBAL","Urban Basic Services","Urban Basic Services","PM of Norway to the United Nations, PM OF NORWAY TO THE UNITED NATIONS","2,412,095","2,412,930","835","178,877"
"2005","WATSAN Trust Fund - Bill & Melinda Gates Foundation Contribution ( UN-Habitat Vacutug Development Project )","W061","Approved","FWS","249,700","20-Feb-12","31-Dec-13","GLOBAL","Urban Basic Services","Urban Basic Services","Bill & Melinda Gates Foundation , BILL & MELINDA GATES FOUNDATION","169,408","174,783","5,375","15,401"
"2007","Strengthening Urban Education, Research and University-City linkages through the Habitat Partner University Initiative","H150_A","Approved","FNE","361,111","1-Jan-12","31-Dec-14","GLOBAL","Research and Capacity Development","Research and Capacity Development","PM of Norway to the United Nations","313,143","191,666","-121,477","3,847"
"2008","Srengthening Urban Education, Research and University-city linkages through the habitat Partner University Initiative","H150_B","Approved","FSE","250,063","1-Jan-12","31-Dec-14","GLOBAL","Research and Capacity Development","Research and Capacity Development","PM of Sweden to the United Nations","189,906","204,841","14,934","13,148"
"2009","Strengthening Urban Education, Research and University-City linkages through the Habitat Partner University Initiative","H150","Approved","FNE","389,059","1-Jan-12","31-Dec-14","GLOBAL","Research and Capacity Development","Research and Capacity Development","PM of Norway to the United Nations, PM of Sweden to the United Nations, Swedish International Development Cooperation Agency (SIDA) , , PM OF SWEDEN TO THE UNITED NATIONS","517,009","396,507","-120,502","16,995"
"2010","Cities and Climate Change Initiative (CCCI): with additional focus on decentralisation, gender and youth 2012-2014","J086","Approved","FNO","2,707,620","1-Jan-12","31-Dec-13","GLOBAL","Urban Planning and Design","Urban Planning and Design","PM of Norway to the United Nations, United Nations Office for Project Services (UNOPS) , , PM OF NORWAY TO THE UNITED NATIONS, UNOPS-HQ UN OFFICE FOR PROJECT SERVICES, WORLD BANK-HQ","3,201,488","3,248,357","46,869","233,041"
"2011","Reconstruction with a view to sustainable improvement of Housing and Living conditions of the population affected by the 12 January 2010 Earthquake in the Southeast","F110","Approved","QXB","1,292,374","1-Jul-12","31-May-16","Haiti","Regional Office for Latin America and Caribbean","Risk Reduction and Rehabilitation","PM of Spain to the United Nations, , PM OF SPAIN TO THE UNITED NATIONS","964,027","1,292,374","328,346","58,602"
"2012","Enhancing Global Action for Safer Cities Phase 3","J093","Approved","FSE","511,377","1-Jan-12","31-Mar-17","GLOBAL","Urban Legislation, Land and Governance","Urban Land, Legislation & Governance","PM of Sweden to the United Nations, Swedish International Development Cooperation Agency (SIDA) , , PM OF SWEDEN TO THE UNITED NATIONS","672,995","745,818","72,823","43,285"
"2013","FDM0411SWE/MTSIP-SIDA: Medium Term Strategic and Institutional Plan Focus Area 2","T063_B","Approved","FNE","201,500","1-Jan-11","31-Dec-12","GLOBAL","Urban Planning and Design","Urban Planning and Design","Swedish International Development Cooperation Agency (SIDA)","201,500","0","-201,500","0"
"2014","FDM0411SWE/MTSIP-SIDA: Medium Term Strategic and Institutional Plan Focus Area 2","T063_C","Approved","FNE","103,000","1-Jan-11","31-Dec-12","GLOBAL","Urban Planning and Design","Urban Planning and Design","Swedish International Development Cooperation Agency (SIDA)","103,076","0","-103,076","0"
"2015","FDM0411SWE/MTSIP-SIDA: Medium Term Strategic and Institutional Plan Focus Area 2","T063_D","Approved","FNE","100,000","1-Jan-11","31-Dec-12","GLOBAL","Urban Planning and Design","Urban Planning and Design","Swedish International Development Cooperation Agency (SIDA)","100,000","0","-100,000","0"
"2016","Sixth Session of The World Urban Forum","A120_B","Approved","FOD","97,460","1-May-11","31-Dec-12","GLOBAL","External Relations","Advocacy","The Ford Foundation","99,522","97,460","-2,062","10,969"
"2017","Sixth Session of The World Urban Forum","A120_A","Approved","FOD","1,538,401","1-May-11","31-Dec-12","GLOBAL","External Relations","Advocacy","Campania Festival Foundation","1,338,613","977,225","-361,389","-434"
